試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,1,,山田航旗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,2,,須貝祐介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,3,,池田颯太,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,1,2,20.8,0,0,0,-,1
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,6,,伊藤樹,5,■,■,■,■,■,11,4,1,36.4,27.3,0.80,0,0,0,-,0,-,16,1,2,1,4.7,37,9,12,40.5,5
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,9,,池田幸太,5,■,■,■,■,■,39,21,2,53.8,48.7,4.20,7,5,0,71.4,2,0.40,15,0,3,2,-1.7,19,4,4,31.6,23
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,10,,ヌルムルキリヴァン,5,■,■,■,■,■,47,30,0,63.8,63.8,6.00,22,15,0,68.2,1,0.20,19,2,3,7,15.8,0,0,0,-,33
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,11,L,藤中颯志,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,9,8,50.0,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,12,,山岸隼,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,19,1,1,7,13.2,0,0,0,-,1
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,13,,椿芽久,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,14,,矢貫龍馬,3,■,■,nan,nan,■,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,2,1,0,50.0,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,15,,波佐間泰平,3,□,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,16,,森崎健史,5,□,□,■,■,□,8,6,0,75.0,75.0,1.20,0,0,0,-,1,0.20,18,1,3,5,8.3,3,1,1,50.0,8
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,17,,中村啓人,1,nan,nan,nan,nan,□,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,VC長野トライデンツ,ヴォレアス北海道,2,3,0,19,,三輪大将,5,■,■,■,■,■,11,5,0,45.5,45.5,1.00,0,0,0,-,5,1.00,13,1,1,5,15.4,6,6,0,100.0,11
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,2,,柏田樹,5,■,■,■,■,■,5,2,2,40.0,0.0,0.40,0,0,0,-,6,1.20,20,0,0,12,15.0,2,1,0,50.0,8
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,3,,田城貴之,2,nan,nan,nan,■,■,5,5,0,100.0,100.0,2.50,0,0,0,-,1,0.50,8,1,1,1,12.5,1,0,0,0.0,7
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,5,,関根ヒカル,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,6,L,渡辺俊介,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,23,14,5,71.7,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,7,,越川優,5,■,■,■,■,■,29,11,4,37.9,24.1,2.20,2,1,0,50.0,1,0.20,19,0,5,7,2.6,29,9,11,50.0,12
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,9,,佐々木博秋,5,■,■,■,■,■,27,15,1,55.6,51.9,3.00,4,3,1,75.0,0,-,15,1,6,2,0.0,31,9,7,40.3,16
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,10,,戸田拓也,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,0,50.0,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,11,,本澤凌斗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,14,,張育陞,5,■,■,■,■,■,54,40,2,74.1,70.4,8.00,27,20,0,74.1,1,0.20,21,2,6,7,10.7,1,0,0,0.0,43
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,16,,谷尻勝将,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,17,,酒井駿,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,18,,後藤万澄,4,■,■,■,nan,□,7,2,0,28.6,28.6,0.50,0,0,0,-,0,-,16,1,0,3,10.9,2,0,0,0.0,3
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,19,,浜田翔太,5,■,■,■,■,■,1,1,0,100.0,100.0,0.20,0,0,0,-,2,0.40,13,0,0,2,3.8,0,0,0,-,3
2022-04-09,2022-04,ヴォレアス北海道,VC長野トライデンツ,3,2,1,23,,田城広光,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,1,,バグナスブライアン,5,■,■,□,■,■,37,16,1,43.2,40.5,3.20,5,4,0,80.0,5,1.00,11,0,4,5,2.3,18,8,4,55.6,21
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,2,,エメルソンロドリゲス,5,■,■,■,■,■,35,15,3,42.9,34.3,3.00,13,5,2,38.5,1,0.20,17,1,6,3,1.5,2,1,0,50.0,17
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,7,L,小川峻宗,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,8,,川口喬,5,■,■,■,■,■,7,4,0,57.1,57.1,0.80,0,0,0,-,2,0.40,14,0,3,3,0.0,2,2,0,100.0,6
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,10,,山田滉太,4,□,nan,■,■,■,21,12,2,57.1,47.6,3.00,3,1,0,33.3,0,-,16,3,5,2,14.1,25,16,4,72.0,15
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,11,,伊藤洸貴,2,■,■,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,12,L,備一真,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,9,6,75.0,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,13,,久保田雅人,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,14,,藤原奨太,3,■,■,■,nan,nan,9,3,2,33.3,11.1,1.00,0,0,0,-,0,-,11,0,3,3,0.0,16,4,6,43.8,3
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,15,,安部翔大,5,■,■,■,■,■,13,9,0,69.2,69.2,1.80,0,0,0,-,3,0.60,12,2,2,3,18.8,5,3,2,80.0,14
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,18,,古賀健太,2,nan,nan,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,20,,永尾敏明,4,nan,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,7,0,1,2,3.6,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,21,,井口直紀,5,□,□,■,■,■,0,0,0,,,-,0,0,0,-,0,-,12,0,0,2,4.2,0,0,0,-,0
2022-04-09,2022-04,大分三好ヴァイセアドラー,富士通カワサキレッドスピリッツ,2,3,0,25,,小野翔平,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,1,,エバデダンジェフリー宇意,5,■,■,■,■,■,11,6,0,54.5,54.5,1.20,0,0,0,-,2,0.40,10,0,3,0,-7.5,0,0,0,-,8
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,4,,柳田百織,5,■,■,■,■,■,41,17,5,41.5,29.3,3.40,12,6,2,50.0,3,0.60,14,1,1,2,8.9,0,0,0,-,21
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,6,L,小林慎平,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,3,10,44.4,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,7,,加藤大雄,5,■,■,■,■,■,8,6,0,75.0,75.0,1.20,0,0,0,-,1,0.20,19,1,0,2,7.9,0,0,0,-,8
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,8,,後藤滉貴,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,0,0.0,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,10,,岡村義郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,11,,浅野卓雅,5,■,■,■,■,■,20,10,0,50.0,50.0,2.00,2,2,0,100.0,0,-,8,0,4,0,-12.5,30,11,7,48.3,10
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,13,,兵頭佳樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,14,,谷平拓海,5,■,■,■,■,■,24,13,2,54.2,45.8,2.60,4,3,1,75.0,1,0.20,23,3,3,7,17.4,28,14,5,58.9,17
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,15,,小野宙,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,17,,角大樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,18,,長谷山拓,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,1,0.20,15,3,1,1,20.0,0,0,0,-,4
2022-04-09,2022-04,富士通カワサキレッドスピリッツ,大分三好ヴァイセアドラー,3,2,1,19,,尾木将,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,4,0,2,2,0.0,0,0,0,-,0
