名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
久保下航平,2022-04,アイシンティルマーレ,7,3,0,1,3,1,0,0,0.0,0.0,0,0,0,1,16,0,3,7,0,0,0,1,,0.0,0.33,6.2,
井澤大輔,2022-04,アイシンティルマーレ,5,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木優汰,2022-04,アイシンティルマーレ,9,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
吉岡衛,2022-04,トヨタ自動車サンホークス,16,0,3,0,2,16,5,2,31.2,18.8,3,1,1,0,4,0,1,0,0,0,0,5,33.3,2.5,0.0,-6.2,
坂本凱,2022-04,トヨタ自動車サンホークス,15,0,3,0,2,14,4,0,28.6,28.6,0,0,0,0,7,0,0,4,7,2,2,4,,2.0,0.0,14.3,42.9
安田剛,2022-04,アイシンティルマーレ,8,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
山岡龍司,2022-04,トヨタ自動車サンホークス,8,0,3,0,3,1,0,0,0.0,0.0,0,0,0,0,10,0,2,1,0,0,0,0,,0.0,0.0,-2.5,
岡本捷吾,2022-04,アイシンティルマーレ,22,3,0,1,3,27,14,3,51.9,40.7,5,1,1,1,8,0,3,3,0,0,0,15,20.0,4.67,0.33,0.0,
岡森怜夢,2022-04,アイシンティルマーレ,21,3,0,1,3,34,20,1,58.8,55.9,7,5,1,1,12,1,3,2,18,6,7,22,71.4,6.67,0.33,6.2,52.8
平野太一,2022-04,トヨタ自動車サンホークス,9,0,3,0,3,6,0,1,0.0,-16.7,0,0,0,0,7,0,0,1,0,0,0,0,,0.0,0.0,3.6,
斎藤総人,2022-04,アイシンティルマーレ,4,3,0,1,3,12,5,0,41.7,41.7,5,3,0,0,10,1,4,1,19,7,9,6,60.0,1.67,0.0,2.5,60.5
新保遥己,2022-04,アイシンティルマーレ,6,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
杉本峻作,2022-04,アイシンティルマーレ,15,3,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
橋爪ユウキ,2022-04,トヨタ自動車サンホークス,6,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
水野将司,2022-04,アイシンティルマーレ,3,3,0,1,3,7,5,0,71.4,71.4,0,0,0,2,10,0,0,0,1,0,1,7,,1.67,0.67,0.0,50.0
浅川成也,2022-04,トヨタ自動車サンホークス,3,0,3,0,3,12,3,1,25.0,16.7,1,0,0,0,6,0,0,0,6,0,4,3,0.0,1.0,0.0,0.0,33.3
渕江陵友,2022-04,トヨタ自動車サンホークス,2,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
滝沢優樹,2022-04,アイシンティルマーレ,1,3,0,1,3,0,0,0,,,0,0,0,0,3,0,0,0,0,0,0,0,,0.0,0.0,0.0,
田中一希,2022-04,トヨタ自動車サンホークス,14,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
皆川昂太,2022-04,トヨタ自動車サンホークス,4,0,3,0,3,10,3,2,30.0,10.0,0,0,0,2,8,0,0,3,1,0,0,5,,1.0,0.67,9.4,0.0
石黒拓未,2022-04,トヨタ自動車サンホークス,12,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
神代優司,2022-04,トヨタ自動車サンホークス,22,0,3,0,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
福島孝輝,2022-04,トヨタ自動車サンホークス,11,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,12,4,5,0,,0.0,0.0,,54.2
菅原幸紀,2022-04,アイシンティルマーレ,16,3,0,1,1,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,0,,0.0,0.0,25.0,
西村駿佑,2022-04,トヨタ自動車サンホークス,1,0,3,0,3,35,12,4,34.3,22.9,6,2,0,1,10,0,1,1,32,12,11,13,33.3,4.0,0.33,0.0,54.7
谷直也,2022-04,アイシンティルマーレ,23,3,0,1,3,12,5,3,41.7,16.7,0,0,0,3,13,0,1,3,1,0,0,8,,1.67,1.0,3.8,0.0
鈴木康平,2022-04,アイシンティルマーレ,10,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,11,6,4,0,,0.0,0.0,,72.7
