名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
クレクバルトシュ,2022-04,ウルフドッグス名古屋,3,3,0,1,3,28,19,0,67.9,67.9,14,11,0,0,10,1,2,5,1,0,1,20,78.6,6.33,0.0,17.5,50.0
デアルマスアライン,2022-04,サントリーサンバーズ,7,0,3,0,3,6,1,0,16.7,16.7,0,0,0,0,5,0,1,1,2,0,1,1,,0.33,0.0,0.0,25.0
ムセルスキードミトリー,2022-04,サントリーサンバーズ,13,0,3,0,3,31,19,3,61.3,51.6,14,9,2,1,15,1,4,5,0,0,0,21,64.3,6.33,0.33,8.3,
伏見大和,2022-04,ウルフドッグス名古屋,4,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤謙次,2022-04,サントリーサンバーズ,12,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
傳田亮太,2022-04,ウルフドッグス名古屋,11,3,0,1,3,3,2,1,66.7,33.3,0,0,0,2,11,3,0,3,0,0,0,7,,0.67,0.67,34.1,
前田一誠,2022-04,ウルフドッグス名古屋,5,3,0,1,3,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
勝岡将斗,2022-04,ウルフドッグス名古屋,23,3,0,1,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
喜入祥充,2022-04,サントリーサンバーズ,15,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大宅真樹,2022-04,サントリーサンバーズ,9,0,3,0,3,1,1,0,100.0,100.0,0,0,0,1,9,0,3,2,0,0,0,2,,0.33,0.33,-2.8,
小山貴稀,2022-04,ウルフドッグス名古屋,13,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小川智大,2022-04,ウルフドッグス名古屋,24,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,19,11,3,0,,0.0,0.0,,65.8
小川猛,2022-04,サントリーサンバーズ,18,0,3,0,2,7,2,0,28.6,28.6,0,0,0,1,7,0,1,1,1,0,1,3,,1.0,0.5,0.0,50.0
小野遥輝,2022-04,サントリーサンバーズ,3,0,3,0,1,3,0,1,0.0,-33.3,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山崎彰都,2022-04,ウルフドッグス名古屋,26,3,0,1,3,18,10,3,55.6,38.9,3,1,2,0,12,1,3,3,17,10,3,11,33.3,3.33,0.0,8.3,67.6
山近哲,2022-04,ウルフドッグス名古屋,2,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
川口太一,2022-04,ウルフドッグス名古屋,20,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
彭世坤,2022-04,サントリーサンバーズ,6,0,3,0,3,8,4,0,50.0,50.0,0,0,0,2,10,0,3,2,2,0,1,6,,1.33,0.67,-2.5,25.0
柳田将洋,2022-04,サントリーサンバーズ,8,0,3,0,3,12,6,1,50.0,41.7,4,2,1,0,8,0,2,3,5,0,0,6,50.0,2.0,0.0,3.1,0.0
永露元稀,2022-04,ウルフドッグス名古屋,21,3,0,1,3,1,1,0,100.0,100.0,0,0,0,2,10,0,2,2,0,0,0,3,,0.33,0.67,0.0,
秦耕介,2022-04,サントリーサンバーズ,11,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤中謙也,2022-04,サントリーサンバーズ,10,0,3,0,3,8,1,1,12.5,0.0,2,0,0,1,6,0,0,0,36,15,8,2,0.0,0.33,0.33,0.0,52.8
西田寛基,2022-04,サントリーサンバーズ,20,0,3,0,2,0,0,0,,,0,0,0,0,4,0,0,1,0,0,0,0,,0.0,0.0,6.2,
近裕崇,2022-04,ウルフドッグス名古屋,6,3,0,1,3,4,2,0,50.0,50.0,0,0,0,1,10,0,1,1,1,1,0,3,,0.67,0.33,0.0,100.0
鍬田憲伸,2022-04,サントリーサンバーズ,22,0,3,0,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
高梨健太,2022-04,ウルフドッグス名古屋,22,3,0,1,3,17,8,2,47.1,35.3,5,2,1,2,16,3,7,2,15,5,4,13,40.0,2.67,0.67,10.9,46.7
高橋良,2022-04,ウルフドッグス名古屋,19,3,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
鶴田大樹,2022-04,サントリーサンバーズ,1,0,3,0,3,0,0,0,,,0,0,0,0,0,0,0,0,12,7,2,0,,0.0,0.0,,66.7
