試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,1,,芥川愛加,4,■,■,■,■,nan,3,0,0,0.0,0.0,-,0,0,0,-,2,0.50,14,2,1,2,16.1,0,0,0,-,4
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,2,,林琴奈,4,■,■,■,■,nan,38,10,5,26.3,13.2,2.50,1,0,0,0.0,0,-,17,0,2,3,1.5,32,15,3,51.6,10
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,4,,橘井友香,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,2,0,-16.7,0,0,0,-,0
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,5,,柴田真果,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,9,0,0,3,8.3,0,0,0,-,1
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,6,,田中瑞稀,4,■,■,■,■,nan,31,16,3,51.6,41.9,4.00,2,2,0,100.0,0,-,13,0,1,2,1.9,20,4,8,40.0,16
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,7,,ヌクジャンタットダオ,4,■,■,■,■,nan,12,4,1,33.3,25.0,1.00,0,0,0,-,2,0.50,9,0,0,4,11.1,3,1,1,50.0,6
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,8,,籾井あき,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,1,0.25,5,0,0,0,0.0,0,0,0,-,1
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,9,,榊原菜那,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,10,,ドルーズアンドレア,4,■,■,■,■,nan,68,29,3,42.6,38.2,7.25,26,12,2,46.2,2,0.50,14,1,3,3,7.1,0,0,0,-,32
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,11,,目黒優佳,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,3,12.5,7,4,1,64.3,0
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,13,,西川有喜,1,nan,nan,nan,□,nan,5,4,1,80.0,60.0,4.00,1,0,1,0.0,0,-,3,0,0,1,8.3,5,4,1,90.0,4
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,14,,ヒックマンジャスティス,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,15,L,小幡真子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,18,5,85.4,0
2022-04-10,2022-04,JTマーヴェラス,久光スプリングス,1,3,0,16,,和田由紀子,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,2,,井上美咲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,5,,井上愛里沙,4,■,■,■,■,nan,53,22,4,41.5,34.0,5.50,9,2,1,22.2,2,0.50,17,0,2,4,2.9,0,0,0,-,24
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,6,,石井優希,4,■,■,■,■,nan,35,5,1,14.3,11.4,1.25,0,0,0,-,1,0.25,19,1,2,3,6.6,16,7,4,56.2,7
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,8,,野本梨佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,10,,大竹里歩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,11,,栄絵里香,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,17,0,0,3,4.4,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,13,,白澤明香里,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,0,-5.0,0,0,0,-,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,14,,中川美柚,4,■,■,■,■,nan,18,5,3,27.8,11.1,1.25,0,0,0,-,0,-,16,0,0,5,7.8,21,13,5,73.8,5
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,15,,池谷優佳,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,16,,アキンラデウォフォルケ,4,■,■,■,■,nan,29,20,0,69.0,69.0,5.00,0,0,0,-,5,1.25,16,0,0,9,14.1,2,2,0,100.0,25
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,17,,濱松明日香,4,■,■,■,■,nan,24,10,2,41.7,33.3,2.50,0,0,0,-,2,0.50,7,0,1,1,0.0,0,0,0,-,12
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,18,L,戸江真奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,43,17,13,54.7,0
2022-04-10,2022-04,久光スプリングス,JTマーヴェラス,3,1,1,22,,深澤めぐみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
