試合日,年月,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,1,L,鶴田大樹,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,14,8,64.3,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,3,,小野遥輝,5,■,■,■,■,■,15,8,1,53.3,46.7,1.60,0,0,0,-,1,0.20,20,0,3,4,1.2,3,1,0,33.3,9
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,6,,彭世坤,5,■,■,■,■,■,12,9,0,75.0,75.0,1.80,0,0,0,-,6,1.20,11,0,4,2,-4.5,1,0,0,0.0,15
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,7,,デアルマスアライン,3,nan,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,8,,柳田将洋,5,■,■,■,■,■,28,16,1,57.1,53.6,3.20,9,9,0,100.0,0,-,18,2,4,1,6.9,16,5,6,50.0,18
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,9,,大宅真樹,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,16,0,3,3,0.0,0,0,0,-,1
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,10,,藤中謙也,5,■,■,■,■,■,14,4,1,28.6,21.4,0.80,5,2,1,40.0,2,0.40,15,0,0,1,1.7,40,20,7,58.8,6
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,11,,秦耕介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,12,,佐藤謙次,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,13,,ムセルスキードミトリー,5,■,■,■,■,■,56,31,9,55.4,39.3,6.20,21,8,7,38.1,2,0.40,17,0,3,9,8.8,0,0,0,-,33
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,15,L,喜入祥充,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,18,,小川猛,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,20,,西田寛基,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,1,0.0,0,0,0,-,0
2022-04-09,2022-04,サントリーサンバーズ,パナソニックパンサーズ,2,3,0,22,,鍬田憲伸,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0
