試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-04-09,東レアローズ,久光スプリングス,1,3,0,1,,井上奈々朱,4,■,■,■,■,nan,13,8,2,61.5,46.2,2.00,0,0,0,-,1,0.25,10,1,2,3,12.5,1,1,0,100.0,10
2022-04-09,東レアローズ,久光スプリングス,1,3,0,4,,白井美沙紀,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,5,,中田紫乃,1,nan,nan,□,nan,nan,4,2,0,50.0,50.0,2.00,0,0,0,-,0,-,3,0,1,1,0.0,7,2,1,35.7,2
2022-04-09,東レアローズ,久光スプリングス,1,3,0,6,,中島未来,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,7,,クランヤナ,4,■,■,■,■,nan,45,21,2,46.7,42.2,5.25,12,5,2,41.7,1,0.25,18,0,3,8,6.9,0,0,0,-,22
2022-04-09,東レアローズ,久光スプリングス,1,3,0,8,,小川愛里奈,4,■,■,■,■,nan,26,10,1,38.5,34.6,2.50,0,0,0,-,0,-,11,0,3,5,4.5,4,2,1,62.5,10
2022-04-09,東レアローズ,久光スプリングス,1,3,0,10,,関菜々巳,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,2,0.50,11,0,1,3,4.5,0,0,0,-,3
2022-04-09,東レアローズ,久光スプリングス,1,3,0,11,L,水杉玲奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,39,23,3,62.8,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,12,,石川真佑,4,■,■,■,■,nan,36,13,4,36.1,25.0,3.25,1,0,0,0.0,0,-,15,0,2,10,13.3,13,5,2,46.2,13
2022-04-09,東レアローズ,久光スプリングス,1,3,0,13,,野呂加南子,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,14,,大崎琴未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,15,,坂本侑,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,16,,西川吉野,4,■,■,■,■,nan,12,2,0,16.7,16.7,0.50,0,0,0,-,0,-,9,0,2,3,2.8,16,5,2,37.5,2
2022-04-09,東レアローズ,久光スプリングス,1,3,0,19,,深澤つぐみ,1,nan,□,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0,0
2022-04-09,東レアローズ,久光スプリングス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,140,57,9,40.7,34.3,14.25,13,5,2,38.5,4,1.00,80,1,14,34,7.5,84,39,9,51.8,62
2022-04-09,久光スプリングス,東レアローズ,3,1,1,2,,井上美咲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,5,,井上愛里沙,4,■,■,■,■,nan,50,23,1,46.0,44.0,5.75,2,2,0,100.0,2,0.50,13,1,0,8,23.1,0,0,0,-,26
2022-04-09,久光スプリングス,東レアローズ,3,1,1,6,,石井優希,4,■,■,■,■,nan,29,14,3,48.3,37.9,3.50,0,0,0,-,4,1.00,18,0,2,6,5.6,27,9,3,38.9,18
2022-04-09,久光スプリングス,東レアローズ,3,1,1,8,,野本梨佳,4,□,□,□,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,10,,大竹里歩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,11,,栄絵里香,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,14,0,1,2,1.8,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,13,,白澤明香里,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,1,0.0,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,14,,中川美柚,4,■,■,■,■,nan,16,6,0,37.5,37.5,1.50,0,0,0,-,2,0.50,19,3,2,6,21.1,24,11,1,47.9,11
2022-04-09,久光スプリングス,東レアローズ,3,1,1,15,,池谷優佳,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,0,0,0.0,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,16,,アキンラデウォフォルケ,4,■,■,■,■,nan,12,5,2,41.7,25.0,1.25,0,0,0,-,0,-,15,1,0,9,21.7,0,0,0,-,6
2022-04-09,久光スプリングス,東レアローズ,3,1,1,17,,濱松明日香,4,■,■,■,■,nan,12,7,0,58.3,58.3,1.75,0,0,0,-,1,0.25,10,1,1,2,12.5,0,0,0,-,9
2022-04-09,久光スプリングス,東レアローズ,3,1,1,18,L,戸江真奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,6,1,59.1,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,22,,深澤めぐみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,久光スプリングス,東レアローズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,120,55,6,45.8,40.8,13.75,2,2,0,100.0,9,2.25,95,6,7,34,13.4,66,26,5,43.2,70
2022-04-09,東レアローズ,久光スプリングス,0,1,0,1,,井上奈々朱,1,■,nan,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,0,1,0,4,,白井美沙紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,0,1,0,5,,中田紫乃,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-04-09,東レアローズ,久光スプリングス,0,1,0,6,L,中島未来,1,●,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,2,66.7,0
2022-04-09,東レアローズ,久光スプリングス,0,1,0,7,,クランヤナ,1,■,nan,nan,nan,nan,18,8,0,44.4,44.4,8.00,7,3,0,42.9,0,-,4,0,0,1,6.2,0,0,0,-,8
