名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オケケアルメソマチ,2022-03,プレステージ・インターナショナルアランマーレ,1,6,8,1,11,70,24,7,34.3,24.3,13,5,2,8,15,1,2,0,0,0,0,33,38.5,2.18,0.73,3.3,
クラリッチカルラ,2022-03,群馬銀行グリーンウイングス,4,6,7,1,12,110,39,8,35.5,28.2,10,5,0,7,34,1,4,10,73,37,16,47,50.0,3.25,0.58,7.4,61.6
中田唯香,2022-03,群馬銀行グリーンウイングス,8,6,7,1,6,41,6,2,14.6,9.8,3,0,0,2,15,0,1,2,31,13,6,8,0.0,1.0,0.33,1.7,51.6
伊藤きわ美,2022-03,GSS東京サンビームズ,15,1,6,0,7,55,15,5,27.3,18.2,2,2,0,0,18,0,2,3,48,24,7,15,100.0,2.14,0.0,1.4,57.3
伊藤寿奈,2022-03,群馬銀行グリーンウイングス,17,6,7,1,7,55,18,6,32.7,21.8,0,0,0,0,14,0,2,1,6,5,1,18,,2.57,0.0,-1.8,91.7
伊藤摩耶,2022-03,プレステージ・インターナショナルアランマーレ,7,4,5,1,9,47,20,5,42.6,31.9,0,0,0,0,30,1,3,9,0,0,0,21,,2.22,0.0,8.3,
佐藤菜々美,2022-03,プレステージ・インターナショナルアランマーレ,18,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
前田美紅,2022-03,プレステージ・インターナショナルアランマーレ,2,4,5,1,9,80,30,6,37.5,30.0,2,1,0,0,22,0,1,5,61,35,10,30,50.0,3.33,0.0,4.5,65.6
勝呂詩保,2022-03,GSS東京サンビームズ,17,3,2,1,4,38,9,4,23.7,13.2,0,0,0,0,6,0,0,2,5,2,1,9,,2.25,0.0,8.3,50.0
勝見咲子,2022-03,GSS東京サンビームズ,6,1,6,0,4,13,3,0,23.1,23.1,0,0,0,0,4,0,1,0,5,3,1,3,,0.75,0.0,-6.2,70.0
原田栞里,2022-03,プレステージ・インターナショナルアランマーレ,13,6,8,1,8,77,28,3,36.4,32.5,9,3,2,0,17,0,1,3,42,19,12,28,33.3,3.5,0.0,2.9,59.5
及川佑加,2022-03,GSS東京サンビームズ,18,4,8,1,12,50,12,1,24.0,22.0,0,0,0,5,24,0,2,5,0,0,0,17,,1.0,0.42,3.1,
古市彩音,2022-03,群馬銀行グリーンウイングス,6,6,7,1,5,8,4,0,50.0,50.0,0,0,0,1,13,2,1,0,0,0,0,7,,0.8,0.2,13.5,
吉岡みなみ,2022-03,群馬銀行グリーンウイングス,2,6,7,1,9,0,0,0,,,0,0,0,0,0,0,0,0,19,13,3,0,,0.0,0.0,,76.3
安福若菜,2022-03,群馬銀行グリーンウイングス,16,6,7,1,9,36,16,5,44.4,30.6,0,0,0,4,25,0,2,5,2,1,0,20,,1.78,0.44,3.0,50.0
宮本菜月,2022-03,プレステージ・インターナショナルアランマーレ,6,6,8,1,12,70,27,3,38.6,34.3,14,3,0,1,30,0,2,7,0,0,0,28,21.4,2.25,0.08,4.2,
富澤結花,2022-03,ルートインホテルズブリリアントアリーズ,19,9,2,3,11,115,40,7,34.8,28.7,7,3,0,4,37,0,2,5,61,33,11,44,42.9,3.64,0.36,2.0,63.1
寺坂茜,2022-03,群馬銀行グリーンウイングス,7,6,7,1,10,69,25,7,36.2,26.1,1,0,1,2,33,3,4,6,5,3,0,30,0.0,2.5,0.2,10.6,60.0
小林知加,2022-03,群馬銀行グリーンウイングス,12,5,4,1,5,0,0,0,,,0,0,0,0,10,1,2,3,0,0,0,1,,0.0,0.0,12.5,
小泉海藍,2022-03,GSS東京サンビームズ,22,3,5,1,3,28,7,4,25.0,10.7,0,0,0,0,7,0,0,2,8,3,2,7,,2.33,0.0,7.1,50.0
小茂田夏海,2022-03,ルートインホテルズブリリアントアリーズ,17,9,2,3,11,55,24,5,43.6,34.5,0,0,0,4,50,1,1,12,0,0,0,29,,2.18,0.36,7.5,
小野山博子,2022-03,プレステージ・インターナショナルアランマーレ,20,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
尾花佳甫,2022-03,プレステージ・インターナショナルアランマーレ,11,4,5,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山口真季,2022-03,ルートインホテルズブリリアントアリーズ,7,9,2,3,11,61,35,1,57.4,55.7,0,0,0,12,26,0,1,7,2,0,2,47,,3.18,1.09,5.8,50.0
山本紗貴,2022-03,GSS東京サンビームズ,27,4,8,1,3,2,0,0,0.0,0.0,0,0,0,0,7,0,1,0,0,0,0,0,,0.0,0.0,-3.6,
山村涼香,2022-03,ルートインホテルズブリリアントアリーズ,12,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
岩本周加,2022-03,ルートインホテルズブリリアントアリーズ,18,3,1,1,2,0,0,0,,,0,0,0,0,6,0,0,1,0,0,0,0,,0.0,0.0,4.2,
工藤綾乃,2022-03,GSS東京サンビームズ,23,3,2,1,5,0,0,0,,,0,0,0,0,3,0,0,0,6,5,1,0,,0.0,0.0,0.0,91.7
