名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
オケケアルメソマチ,プレステージ・インターナショナルアランマーレ,1,4,5,1,8,46,18,3,39.1,32.6,7,4,0,4,9,1,1,0,0,0,0,23,57.1,2.25,0.5,8.3,
クラリッチカルラ,群馬銀行グリーンウイングス,4,5,4,1,9,98,36,7,36.7,29.6,9,4,0,7,32,1,4,9,61,33,11,44,44.4,4.0,0.78,7.0,63.1
中田唯香,群馬銀行グリーンウイングス,8,5,4,1,2,2,1,1,50.0,0.0,0,0,0,0,1,0,0,0,1,1,0,1,,0.5,0.0,0.0,100.0
伊藤きわ美,GSS東京サンビームズ,15,1,6,0,7,55,15,5,27.3,18.2,2,2,0,0,18,0,2,3,48,24,7,15,100.0,2.14,0.0,1.4,57.3
伊藤寿奈,群馬銀行グリーンウイングス,17,5,4,1,3,19,8,1,42.1,36.8,0,0,0,0,7,0,0,0,4,4,0,8,,2.67,0.0,0.0,100.0
伊藤摩耶,プレステージ・インターナショナルアランマーレ,7,4,5,1,9,47,20,5,42.6,31.9,0,0,0,0,30,1,3,9,0,0,0,21,,2.22,0.0,8.3,
前田美紅,プレステージ・インターナショナルアランマーレ,2,4,5,1,9,80,30,6,37.5,30.0,2,1,0,0,22,0,1,5,61,35,10,30,50.0,3.33,0.0,4.5,65.6
勝見咲子,GSS東京サンビームズ,6,1,6,0,4,13,3,0,23.1,23.1,0,0,0,0,4,0,1,0,5,3,1,3,,0.75,0.0,-6.2,70.0
原田栞里,プレステージ・インターナショナルアランマーレ,13,4,5,1,3,4,3,0,75.0,75.0,1,1,0,0,3,0,0,0,3,0,0,3,100.0,1.0,0.0,0.0,0.0
及川佑加,GSS東京サンビームズ,18,1,6,0,7,28,7,0,25.0,25.0,0,0,0,3,13,0,2,2,0,0,0,10,,1.0,0.43,0.0,
古市彩音,群馬銀行グリーンウイングス,6,5,4,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
吉岡みなみ,群馬銀行グリーンウイングス,2,5,4,1,7,0,0,0,,,0,0,0,0,0,0,0,0,14,10,3,0,,0.0,0.0,,82.1
安福若菜,群馬銀行グリーンウイングス,16,5,4,1,9,36,16,5,44.4,30.6,0,0,0,4,25,0,2,5,2,1,0,20,,1.78,0.44,3.0,50.0
宮本菜月,プレステージ・インターナショナルアランマーレ,6,4,5,1,9,34,9,2,26.5,20.6,7,2,0,1,17,0,2,4,0,0,0,10,28.6,1.0,0.11,2.9,
富澤結花,ルートインホテルズブリリアントアリーズ,19,6,1,2,7,74,27,5,36.5,29.7,3,2,0,3,27,0,1,4,42,22,6,30,66.7,3.86,0.43,2.8,59.5
寺坂茜,群馬銀行グリーンウイングス,7,5,4,1,7,45,18,5,40.0,28.9,0,0,0,1,26,3,3,4,4,3,0,22,,2.57,0.14,12.5,75.0
小林知加,群馬銀行グリーンウイングス,12,5,4,1,5,0,0,0,,,0,0,0,0,10,1,2,3,0,0,0,1,,0.0,0.0,12.5,
小泉海藍,GSS東京サンビームズ,22,0,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小茂田夏海,ルートインホテルズブリリアントアリーズ,17,6,1,2,7,35,14,4,40.0,28.6,0,0,0,3,30,1,1,7,0,0,0,18,,2.0,0.43,8.3,
尾花佳甫,プレステージ・インターナショナルアランマーレ,11,4,5,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
山口真季,ルートインホテルズブリリアントアリーズ,7,6,1,2,7,36,20,1,55.6,52.8,0,0,0,10,16,0,1,3,0,0,0,30,,2.86,1.43,3.1,
山本紗貴,GSS東京サンビームズ,27,1,6,0,2,2,0,0,0.0,0.0,0,0,0,0,5,0,1,0,0,0,0,0,,0.0,0.0,-5.0,
山村涼香,ルートインホテルズブリリアントアリーズ,12,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
平原果歩,ルートインホテルズブリリアントアリーズ,11,6,1,2,5,9,0,1,0.0,-11.1,0,0,0,0,9,0,0,1,3,0,2,0,,0.0,0.0,2.8,33.3
平岩沙紀,GSS東京サンビームズ,4,1,6,0,7,0,0,0,,,0,0,0,0,0,0,0,0,29,11,5,0,,0.0,0.0,,46.6
平野七菜,ルートインホテルズブリリアントアリーズ,15,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
張心穆意,GSS東京サンビームズ,21,1,6,0,7,85,30,2,35.3,32.9,0,0,0,4,18,0,1,4,0,0,0,34,,4.29,0.57,4.2,
投野ひかる,プレステージ・インターナショナルアランマーレ,5,4,5,1,8,2,1,0,50.0,50.0,1,1,0,1,13,0,0,5,0,0,0,2,100.0,0.12,0.12,9.6,
新井祥,群馬銀行グリーンウイングス,10,5,4,1,9,69,19,3,27.5,23.2,3,0,0,1,35,2,2,11,38,24,3,22,0.0,2.11,0.11,12.1,67.1
有村涼美,プレステージ・インターナショナルアランマーレ,17,4,5,1,4,19,5,1,26.3,21.1,0,0,0,1,11,0,0,4,10,8,1,6,,1.25,0.25,9.1,85.0
木村友里,プレステージ・インターナショナルアランマーレ,3,4,5,1,8,62,19,5,30.6,22.6,2,0,0,0,29,1,2,4,72,45,9,20,0.0,2.38,0.0,5.2,68.8
村山美佳,ルートインホテルズブリリアントアリーズ,14,6,1,2,7,64,21,5,32.8,25.0,10,2,1,1,30,1,2,8,0,0,0,23,20.0,3.0,0.14,8.3,
松尾奈津子,群馬銀行グリーンウイングス,15,5,4,1,9,3,2,0,66.7,66.7,0,0,0,0,33,3,1,4,0,0,0,5,,0.22,0.0,11.4,
松尾由紀子,GSS東京サンビームズ,20,1,3,0,2,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
松浦未波,GSS東京サンビームズ,2,1,6,0,7,2,1,0,50.0,50.0,0,0,0,1,25,2,0,9,0,0,0,4,,0.14,0.14,17.0,
柳沢紫子,プレステージ・インターナショナルアランマーレ,10,4,5,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
栗栖留生,群馬銀行グリーンウイングス,14,5,4,1,9,0,0,0,,,0,0,0,0,0,0,0,0,47,29,6,0,,0.0,0.0,,68.1
槇森有香,GSS東京サンビームズ,19,1,6,0,7,0,0,0,,,0,0,0,0,12,1,0,2,12,8,1,1,,0.0,0.0,12.5,70.8
横田実穂,ルートインホテルズブリリアントアリーズ,16,6,1,2,7,6,3,0,50.0,50.0,0,0,0,0,24,1,2,6,0,0,0,4,,0.43,0.0,8.3,
櫻田桃奈,GSS東京サンビームズ,13,1,6,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
水谷真友,ルートインホテルズブリリアントアリーズ,3,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中瑠奈,群馬銀行グリーンウイングス,5,5,4,1,9,114,41,6,36.0,30.7,17,5,0,1,27,1,2,7,13,8,4,43,29.4,4.56,0.11,8.3,76.9
田中美紅,ルートインホテルズブリリアントアリーズ,13,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
畠山初音,GSS東京サンビームズ,26,1,6,0,7,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
