名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エスペホマーク,2021-10,FC東京,15,7,18,0,24,144,58,10,40.3,33.3,19,10,2,5,68,3,23,15,131,54,34,66,52.6,2.42,0.21,1.5,54.2
エスペホマーク,2021-11,FC東京,15,10,10,3,19,119,47,11,39.5,30.3,27,17,2,11,65,5,19,19,109,37,37,63,63.0,2.47,0.58,7.7,50.9
エスペホマーク,2021-12,FC東京,15,4,4,1,7,36,13,5,36.1,22.2,4,1,1,1,12,0,2,4,37,6,11,14,25.0,1.86,0.14,4.2,31.1
エスペホマーク,2022-01,FC東京,15,4,13,1,12,93,23,8,24.7,16.1,10,4,4,4,24,0,10,6,91,35,26,27,40.0,1.92,0.33,-4.2,52.7
エスペホマーク,2022-02,FC東京,15,6,2,2,7,55,22,3,40.0,34.5,8,3,0,1,23,2,4,5,34,21,7,25,37.5,3.14,0.14,9.8,72.1
エスペホマーク,2022-03,FC東京,15,0,6,0,3,14,5,1,35.7,28.6,2,0,0,0,10,1,2,1,32,22,5,6,0.0,1.67,0.0,7.5,76.6
エドガートーマス,2021-10,JTサンダーズ広島,6,10,13,2,23,238,120,14,50.4,44.5,87,52,5,10,95,14,23,29,0,0,0,144,59.8,5.22,0.43,16.3,
エドガートーマス,2021-11,JTサンダーズ広島,6,11,10,3,21,276,142,16,51.4,45.7,113,65,6,7,88,5,23,24,1,0,0,154,57.5,6.76,0.33,6.0,0.0
エドガートーマス,2021-12,JTサンダーズ広島,6,6,0,2,6,59,36,0,61.0,61.0,20,10,0,4,22,0,4,7,0,0,0,40,50.0,6.0,0.67,3.4,
エドガートーマス,2022-01,JTサンダーズ広島,6,9,17,1,26,294,141,30,48.0,37.8,129,67,14,4,77,4,29,12,0,0,0,149,51.9,5.42,0.15,-0.3,
エドガートーマス,2022-02,JTサンダーズ広島,6,10,14,2,24,309,150,23,48.5,41.1,133,74,11,5,85,6,24,30,0,0,0,161,55.6,6.25,0.21,8.8,
エドガートーマス,2022-03,JTサンダーズ広島,6,9,2,3,11,104,53,10,51.0,41.3,50,25,9,5,43,9,13,9,0,0,0,67,50.0,4.82,0.45,18.6,
エバデダンラリー,2022-01,パナソニックパンサーズ,23,14,7,4,4,7,4,1,57.1,42.9,0,0,0,1,9,0,2,2,6,3,1,5,,1.0,0.25,0.0,58.3
エバデダンラリー,2022-02,パナソニックパンサーズ,23,12,2,4,4,9,5,0,55.6,55.6,0,0,0,0,6,0,0,2,3,2,0,5,,1.25,0.0,8.3,66.7
エバデダンラリー,2022-03,パナソニックパンサーズ,23,7,3,2,8,11,9,0,81.8,81.8,0,0,0,3,21,0,2,8,0,0,0,12,,1.12,0.38,7.1,
エメルソンロドリゲス,2021-10,大分三好ヴァイセアドラー,2,6,16,1,21,145,66,14,45.5,35.9,59,28,9,2,63,4,13,16,0,0,0,72,47.5,3.14,0.1,7.5,
エメルソンロドリゲス,2021-11,大分三好ヴァイセアドラー,2,3,17,1,16,139,55,18,39.6,26.6,61,27,9,2,40,1,15,12,0,0,0,58,44.3,3.44,0.12,0.6,
エメルソンロドリゲス,2021-12,大分三好ヴァイセアドラー,2,3,6,0,8,52,27,8,51.9,36.5,25,13,3,0,31,6,7,13,0,0,0,33,52.0,3.38,0.0,24.2,
エメルソンロドリゲス,2022-01,大分三好ヴァイセアドラー,2,11,21,3,22,167,76,14,45.5,37.1,77,39,4,1,73,7,26,23,0,0,0,84,50.6,3.45,0.05,8.6,
エメルソンロドリゲス,2022-02,大分三好ヴァイセアドラー,2,2,15,0,17,177,79,19,44.6,33.9,73,30,7,2,60,7,20,20,0,0,0,88,41.1,4.65,0.12,11.7,
エメルソンロドリゲス,2022-03,大分三好ヴァイセアドラー,2,0,3,0,2,26,12,2,46.2,38.5,8,4,1,0,6,1,3,1,0,0,0,13,50.0,6.0,0.0,8.3,
クビアクミハウ,2021-10,パナソニックパンサーズ,13,17,5,5,22,151,70,10,46.4,39.7,33,17,2,9,92,5,8,32,143,64,26,84,51.5,3.18,0.41,12.0,53.8
クビアクミハウ,2021-11,パナソニックパンサーズ,13,12,12,3,24,189,82,16,43.4,34.9,30,16,5,11,86,5,8,21,170,73,42,98,53.3,3.42,0.46,9.6,55.3
クビアクミハウ,2021-12,パナソニックパンサーズ,13,2,6,0,8,72,30,7,41.7,31.9,10,3,2,0,31,0,8,4,91,45,18,30,30.0,3.75,0.0,-3.2,59.3
クビアクミハウ,2022-01,パナソニックパンサーズ,13,12,4,4,16,110,50,16,45.5,30.9,18,11,0,3,66,3,10,20,89,41,20,56,61.1,3.12,0.19,8.3,57.3
クビアクミハウ,2022-02,パナソニックパンサーズ,13,15,8,4,23,192,98,14,51.0,43.8,32,14,6,3,93,7,14,25,159,66,47,108,43.8,4.26,0.13,10.5,56.3
クビアクミハウ,2022-03,パナソニックパンサーズ,13,7,3,2,10,70,30,4,42.9,37.1,10,3,3,7,38,1,7,10,54,19,11,38,30.0,3.0,0.7,4.6,45.4
クレクバルトシュ,2021-10,ウルフドッグス名古屋,3,16,7,5,23,239,125,19,52.3,44.4,89,50,8,7,94,7,24,29,0,0,0,139,56.2,5.43,0.3,8.8,
