試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,1,,井上奈々朱,4,■,■,■,■,nan,9,4,1,44.4,33.3,1.00,0,0,0,-,1,0.25,21,1,2,7,10.7,0,0,0,-,6
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,4,,白井美沙紀,3,■,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,5,,中田紫乃,3,■,□,□,nan,nan,6,0,2,0.0,-33.3,-,0,0,0,-,0,-,5,0,0,3,15.0,2,2,0,100.0,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,6,L,中島未来,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,7,,クランヤナ,4,■,■,■,■,nan,58,25,4,43.1,36.2,6.25,8,1,0,12.5,1,0.25,17,1,1,5,11.8,0,0,0,-,27
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,8,,小川愛里奈,4,■,■,■,■,nan,21,14,0,66.7,66.7,3.50,1,1,0,100.0,3,0.75,14,0,0,5,8.9,0,0,0,-,17
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,10,,関菜々巳,4,□,■,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-,2
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,11,L,水杉玲奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,8,4,58.8,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,12,,石川真佑,4,■,■,■,■,nan,41,14,7,34.1,17.1,3.50,5,2,0,40.0,1,0.25,13,0,1,4,5.8,20,14,4,80.0,15
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,13,,野呂加南子,4,□,■,■,■,nan,18,3,1,16.7,11.1,0.75,0,0,0,-,0,-,16,2,0,3,17.2,41,15,8,46.3,5
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,14,,大崎琴未,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,15,,坂本侑,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,16,,西川吉野,2,nan,□,nan,□,nan,3,1,1,33.3,0.0,0.50,0,0,0,-,0,-,0,0,0,0,-,2,0,0,0.0,1
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,17,,樫村まどか,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-10-15,東レアローズ,ヴィクトリーナ姫路,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,158,63,16,39.9,29.7,15.75,14,4,0,28.6,6,1.50,97,4,5,31,10.8,82,39,16,57.3,73
