名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,2021-10,久光スプリングス,16,17,7,5,24,119,69,7,58.0,52.1,0,0,0,21,73,2,6,17,3,3,0,92,,2.88,0.88,6.5,100.0
アキンラデウォフォルケ,2021-11,久光スプリングス,16,0,6,0,6,26,12,2,46.2,38.5,0,0,0,3,19,0,3,4,1,0,0,15,,2.0,0.5,1.3,0.0
アキンラデウォフォルケ,2021-12,久光スプリングス,16,5,4,1,9,36,23,1,63.9,61.1,0,0,0,6,31,1,0,10,0,0,0,30,,2.56,0.67,11.3,
アキンラデウォフォルケ,2022-01,久光スプリングス,16,3,2,1,5,25,15,1,60.0,56.0,0,0,0,2,13,0,1,4,0,0,0,17,,3.0,0.4,5.8,
アキンラデウォフォルケ,2022-02,久光スプリングス,16,4,3,1,7,55,36,1,65.5,63.6,0,0,0,4,22,0,3,9,0,0,0,40,,5.14,0.57,6.8,
アコスタロスランディ,2021-10,デンソーエアリービーズ,7,14,8,4,12,60,17,4,28.3,21.7,2,0,0,1,15,0,0,6,24,14,1,18,0.0,1.42,0.08,10.0,60.4
アコスタロスランディ,2021-11,デンソーエアリービーズ,7,16,7,5,16,191,77,7,40.3,36.6,12,2,0,7,39,0,3,2,73,36,19,84,16.7,4.81,0.44,-0.6,62.3
アコスタロスランディ,2021-12,デンソーエアリービーズ,7,1,6,0,7,61,25,2,41.0,37.7,2,0,1,3,19,0,1,4,78,41,13,28,0.0,3.57,0.43,3.9,60.9
アコスタロスランディ,2022-01,デンソーエアリービーズ,7,6,3,2,9,73,27,3,37.0,32.9,10,3,2,3,26,0,1,5,40,22,8,30,30.0,3.0,0.33,3.8,65.0
アコスタロスランディ,2022-02,デンソーエアリービーズ,7,3,5,1,8,82,26,4,31.7,26.8,6,0,1,2,23,0,2,5,43,16,10,28,0.0,3.25,0.25,3.3,48.8
ウィルハイトサラ,2021-10,NECレッドロケッツ,18,10,7,3,7,64,27,4,42.2,35.9,6,4,0,3,18,0,2,5,40,11,4,30,66.7,3.86,0.43,4.2,32.5
ウィルハイトサラ,2021-11,NECレッドロケッツ,18,15,7,5,17,155,66,7,42.6,38.1,23,8,2,8,50,2,6,19,76,26,21,76,34.8,3.88,0.47,10.5,48.0
ウィルハイトサラ,2021-12,NECレッドロケッツ,18,3,3,1,5,44,22,1,50.0,47.7,6,1,1,2,18,4,3,3,36,9,8,28,16.7,4.4,0.4,22.2,36.1
ウィルハイトサラ,2022-01,NECレッドロケッツ,18,3,3,1,6,58,15,2,25.9,22.4,4,2,1,2,15,0,0,8,0,0,0,17,50.0,2.5,0.33,13.3,
オクム大庭冬美ハウィ,2021-10,日立Astemoリヴァーレ,17,10,16,2,26,344,142,28,41.3,33.1,95,35,12,5,72,1,13,18,2,1,1,148,36.8,5.46,0.19,3.1,75.0
オクム大庭冬美ハウィ,2021-12,日立Astemoリヴァーレ,17,4,5,1,6,15,6,1,40.0,33.3,0,0,0,0,3,0,0,1,0,0,0,6,,1.0,0.0,8.3,
オクム大庭冬美ハウィ,2022-01,日立Astemoリヴァーレ,17,6,16,1,20,213,69,20,32.4,23.0,53,15,6,4,47,0,6,10,1,0,0,73,28.3,3.45,0.2,2.1,0.0
クランヤナ,2021-10,東レアローズ,7,17,6,5,23,331,150,13,45.3,41.4,50,23,4,5,89,3,9,28,1,1,0,158,46.0,6.52,0.22,8.7,100.0
クランヤナ,2021-11,東レアローズ,7,13,7,4,20,265,116,12,43.8,39.2,53,21,3,17,73,3,6,20,0,0,0,136,39.6,5.8,0.85,8.9,
クランヤナ,2021-12,東レアローズ,7,6,1,2,7,121,62,10,51.2,43.0,16,9,3,4,29,1,2,9,0,0,0,67,56.2,8.86,0.57,9.5,
クランヤナ,2022-01,東レアローズ,7,10,4,3,14,186,81,10,43.5,38.2,26,12,1,10,54,2,5,11,0,0,0,93,46.2,5.79,0.71,6.5,
コクラムピンピチャヤ,2021-10,KUROBEアクアフェアリーズ,26,1,9,0,8,46,15,1,32.6,30.4,1,1,0,0,8,0,2,1,11,4,4,15,100.0,1.88,0.0,-3.1,54.5
コクラムピンピチャヤ,2021-11,KUROBEアクアフェアリーズ,26,1,12,0,13,104,41,2,39.4,37.5,8,0,1,4,31,0,1,7,71,27,20,45,0.0,3.15,0.31,4.8,52.1
コクラムピンピチャヤ,2021-12,KUROBEアクアフェアリーズ,26,6,2,2,8,66,18,3,27.3,22.7,2,1,0,4,22,1,1,6,58,28,13,23,50.0,2.25,0.5,10.2,59.5
コクラムピンピチャヤ,2022-01,KUROBEアクアフェアリーズ,26,4,8,1,12,107,35,5,32.7,28.0,21,5,2,2,39,2,2,9,80,23,18,39,23.8,2.92,0.17,9.6,40.0
サンティアゴアライジャダフニ,2021-10,埼玉上尾メディックス,3,10,11,3,21,94,43,2,45.7,43.6,0,0,0,12,55,2,7,16,5,2,1,57,,2.05,0.57,7.7,50.0
サンティアゴアライジャダフニ,2021-11,埼玉上尾メディックス,3,14,9,4,23,108,58,2,53.7,51.9,1,0,0,12,61,3,11,8,2,1,1,73,0.0,2.52,0.52,3.7,75.0
サンティアゴアライジャダフニ,2021-12,埼玉上尾メディックス,3,5,4,1,9,17,5,1,29.4,23.5,0,0,0,8,22,0,4,8,0,0,0,13,,0.56,0.89,4.5,
サンティアゴアライジャダフニ,2022-01,埼玉上尾メディックス,3,6,1,2,7,31,17,1,54.8,51.6,0,0,0,9,19,0,1,7,1,0,1,26,,2.43,1.29,7.9,50.0
ジャンティタントゥイー,2021-10,PFUブルーキャッツ,12,10,10,3,20,121,46,6,38.0,33.1,9,3,1,7,79,2,10,17,15,15,0,55,33.3,2.3,0.35,4.7,100.0
ジャンティタントゥイー,2021-11,PFUブルーキャッツ,12,13,11,4,24,125,60,8,48.0,41.6,10,5,2,15,81,5,8,15,5,3,1,80,50.0,2.5,0.62,8.3,70.0
ジャンティタントゥイー,2021-12,PFUブルーキャッツ,12,3,3,1,6,38,21,0,55.3,55.3,0,0,0,5,20,0,3,8,7,5,0,26,,3.5,0.83,6.2,71.4
ジャンティタントゥイー,2022-01,PFUブルーキャッツ,12,11,8,3,19,109,46,5,42.2,37.6,3,0,1,12,55,1,10,11,2,1,0,59,0.0,2.42,0.63,2.3,50.0
タップハンナ,2021-10,日立Astemoリヴァーレ,5,10,16,2,26,120,54,5,45.0,40.8,0,0,0,12,62,3,2,22,7,4,1,69,,2.08,0.46,12.9,64.3
タップハンナ,2021-11,日立Astemoリヴァーレ,5,11,11,3,20,111,46,14,41.4,28.8,1,0,1,12,53,2,4,16,5,2,1,60,0.0,2.3,0.6,9.4,50.0
タップハンナ,2021-12,日立Astemoリヴァーレ,5,4,5,1,9,42,18,3,42.9,35.7,0,0,0,2,16,0,0,7,9,6,1,20,,2.0,0.22,10.9,72.2
タップハンナ,2022-01,日立Astemoリヴァーレ,5,6,16,1,14,49,23,4,46.9,38.8,0,0,0,11,34,2,4,15,1,0,0,36,,1.64,0.79,14.0,0.0
ティシェイラロレンネ,2021-10,埼玉上尾メディックス,24,10,11,3,18,145,44,9,30.3,24.1,45,15,5,3,53,6,4,12,0,0,0,53,33.3,2.44,0.17,15.1,
ティシェイラロレンネ,2021-11,埼玉上尾メディックス,24,14,9,4,20,174,70,13,40.2,32.8,68,30,6,4,71,5,9,18,1,1,0,79,44.1,3.5,0.2,10.2,100.0
ティシェイラロレンネ,2021-12,埼玉上尾メディックス,24,5,4,1,9,126,42,5,33.3,29.4,47,14,3,2,40,3,3,17,0,0,0,47,29.8,4.67,0.22,16.2,
ティシェイラロレンネ,2022-01,埼玉上尾メディックス,24,6,1,2,7,66,25,5,37.9,30.3,33,12,2,2,27,2,3,7,0,0,0,29,36.4,3.57,0.29,11.1,
ドルーズアンドレア,2021-10,JTマーヴェラス,10,18,3,6,19,220,91,16,41.4,34.1,73,30,6,8,58,3,9,28,2,1,0,102,41.1,4.79,0.42,13.4,50.0
ドルーズアンドレア,2021-11,JTマーヴェラス,10,16,5,5,21,251,117,14,46.6,41.0,102,43,9,4,63,3,14,17,0,0,0,124,42.2,5.57,0.19,6.0,
ドルーズアンドレア,2021-12,JTマーヴェラス,10,6,1,2,7,83,37,7,44.6,36.1,36,11,6,2,15,1,3,4,0,0,0,40,30.6,5.29,0.29,8.3,
