名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アキンラデウォフォルケ,久光スプリングス,16,57,32,16,89,492,275,21,55.9,51.6,2,0,0,73,264,5,23,70,9,5,0,353,0.0,3.09,0.82,6.3,55.6
アコスタロスランディ,デンソーエアリービーズ,7,58,55,17,86,763,290,33,38.0,33.7,81,26,7,34,207,2,20,37,358,176,71,326,32.1,3.37,0.4,3.0,59.1
ウィルハイトサラ,NECレッドロケッツ,18,60,32,18,63,588,233,27,39.6,35.0,96,41,6,23,192,13,18,58,170,52,44,269,42.7,3.7,0.37,12.0,43.5
オクム大庭冬美ハウィ,日立Astemoリヴァーレ,17,37,52,9,84,971,372,76,38.3,30.5,260,90,26,15,224,3,31,58,5,1,1,390,34.6,4.43,0.18,4.4,30.0
クランヤナ,東レアローズ,7,73,28,22,101,1371,619,69,45.1,40.1,275,126,22,57,391,16,35,114,2,2,0,692,45.8,6.13,0.56,9.1,100.0
コクラムピンピチャヤ,KUROBEアクアフェアリーズ,26,14,64,3,76,675,220,32,32.6,27.9,89,24,10,20,225,10,14,64,435,165,106,250,27.0,2.89,0.26,10.0,50.1
サンティアゴアライジャダフニ,埼玉上尾メディックス,3,57,46,16,103,438,212,13,48.4,45.4,1,0,0,80,250,9,36,57,13,5,6,301,0.0,2.06,0.78,5.7,61.5
ジャンティタントゥイー,PFUブルーキャッツ,12,44,56,11,100,598,256,30,42.8,37.8,50,18,8,56,323,10,45,68,34,26,2,322,36.0,2.56,0.56,4.9,79.4
タップハンナ,日立Astemoリヴァーレ,5,48,63,12,101,457,213,32,46.6,39.6,1,0,1,61,267,14,16,85,31,16,5,288,0.0,2.11,0.6,11.7,59.7
ティシェイラロレンネ,埼玉上尾メディックス,24,57,46,16,96,1039,376,61,36.2,30.3,372,130,27,27,335,22,39,89,4,2,1,425,34.9,3.92,0.28,10.3,62.5
ドルーズアンドレア,JTマーヴェラス,10,73,27,23,98,1120,488,73,43.6,37.1,390,165,39,33,258,15,50,85,2,1,0,536,42.3,4.98,0.34,9.2,50.0
ヌクジャンタットダオ,JTマーヴェラス,7,73,27,23,87,283,145,14,51.2,46.3,1,0,0,60,274,10,14,69,14,4,7,215,0.0,1.67,0.69,8.7,53.6
バムルンスックハッタヤ,トヨタ車体クインシーズ,20,37,74,8,102,453,181,25,40.0,34.4,0,0,0,75,301,17,18,84,23,18,2,273,,1.77,0.74,11.1,82.6
バルデスメリーサ,PFUブルーキャッツ,23,40,47,11,84,920,397,55,43.2,37.2,227,106,17,29,293,17,43,56,9,5,2,443,46.7,4.73,0.35,6.9,66.7
ヒックマンジャスティス,JTマーヴェラス,14,60,18,19,29,155,44,9,28.4,22.6,18,5,2,10,71,2,3,22,162,73,35,56,27.8,1.52,0.34,9.5,55.9
ブンダサックジャラスポーン,デンソーエアリービーズ,8,53,49,16,8,19,7,0,36.8,36.8,0,0,0,2,14,0,2,3,7,3,3,9,,0.88,0.25,1.8,64.3
プラクセレステ,ヴィクトリーナ姫路,6,42,71,6,104,1275,506,63,39.7,34.7,218,84,19,49,356,16,26,118,83,26,23,571,38.5,4.87,0.47,11.0,45.2
ラッツメレーテ,KUROBEアクアフェアリーズ,11,13,49,3,60,692,235,48,34.0,27.0,141,49,21,42,169,14,27,47,0,0,0,291,34.8,3.92,0.7,11.2,
