チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
きんでんトリニティーブリッツ,2498,1155,238,46.2,36.7,451,216,71,167,1952,74,346,372,1708,687,546,1396,47.9,1.38,0.2,4.1,56.2
つくばユナイテッドSunGAIA,2607,1147,201,44.0,36.3,464,185,64,175,1935,39,282,400,1622,848,391,1361,39.9,1.37,0.21,3.5,64.3
クボタスピアーズ,2263,943,192,41.7,33.2,361,165,51,154,1633,45,233,352,1514,756,354,1142,45.7,1.37,0.22,4.6,61.6
サフィルヴァ北海道,2617,1150,233,43.9,35.0,529,226,73,218,1982,70,325,384,1768,670,545,1438,42.7,1.33,0.25,4.3,53.3
トヨタ自動車サンホークス,1753,773,162,44.1,34.9,182,88,29,125,1369,47,162,266,1086,495,308,945,48.4,1.5,0.24,5.3,59.8
ヴィアティン三重,2656,1288,182,48.5,41.6,424,202,54,209,2152,89,272,428,1595,846,415,1586,47.6,1.67,0.27,5.9,66.1
ヴォレアス北海道,2123,1112,166,52.4,44.6,485,257,62,229,1973,123,301,461,1332,696,304,1464,53.0,1.8,0.37,8.3,63.7
兵庫デルフィーノ,2619,1066,234,40.7,31.8,409,140,52,200,1863,69,299,372,1662,877,418,1335,34.2,1.48,0.28,4.7,65.3
千葉ZELVA,2436,993,207,40.8,32.3,432,158,72,154,1744,49,225,248,1712,774,495,1196,36.6,1.28,0.2,3.1,59.7
埼玉アザレア,2385,1071,157,44.9,38.3,378,145,48,219,1888,67,182,369,1470,709,377,1357,38.4,1.72,0.35,6.0,61.1
大同特殊鋼レッドスター,2282,1031,179,45.2,37.3,307,129,52,157,1743,60,176,365,1440,616,413,1248,42.0,1.47,0.22,6.2,57.1
奈良ドリーマーズ,2518,1097,192,43.6,35.9,439,191,62,157,1877,61,294,424,1715,752,467,1315,43.5,1.42,0.2,5.0,57.5
富士通カワサキレッドスピリッツ,2132,1173,167,55.0,47.2,407,213,54,174,1931,98,322,443,1357,623,377,1445,52.3,1.61,0.24,6.6,59.8
東京ヴェルディ,2456,1059,235,43.1,33.6,435,173,68,135,1762,58,269,312,1640,743,408,1252,39.8,1.39,0.18,3.9,57.7
警視庁フォートファイターズ,2504,1107,231,44.2,35.0,397,138,64,177,1823,59,239,342,1636,812,424,1343,34.8,1.5,0.24,4.6,62.6
