チーム,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
GSS東京サンビームズ,1817,590,110,32.5,26.4,35,11,5,89,913,23,51,196,885,397,205,702,31.4,1.38,0.21,6.5,56.4
JAぎふリオレーナ,1918,607,107,31.6,26.1,169,52,20,49,912,38,95,241,868,445,174,694,30.8,1.5,0.12,8.2,61.3
フォレストリーヴズ熊本,2116,660,142,31.2,24.5,142,33,15,47,975,31,72,257,1041,417,228,738,23.2,1.67,0.12,7.9,51.0
ブレス浜松,2224,710,129,31.9,26.1,219,63,27,91,1104,56,95,307,1029,587,194,857,28.8,1.66,0.21,9.9,66.5
プレステージ・インターナショナルアランマーレ,2132,703,134,33.0,26.7,112,24,13,161,1185,47,72,341,974,445,212,911,21.4,1.42,0.33,9.6,56.6
リガーレ仙台,1608,516,91,32.1,26.4,11,1,1,45,758,15,48,170,696,342,124,576,9.1,1.93,0.17,6.0,58.0
ルートインホテルズブリリアントアリーズ,2218,836,149,37.7,31.0,179,46,24,107,1239,54,92,340,1018,489,241,997,25.7,1.98,0.25,9.4,59.9
千葉エンゼルクロス,2037,684,114,33.6,28.0,29,6,5,42,977,27,48,244,938,398,224,753,20.7,1.59,0.1,7.8,54.4
大野石油広島オイラーズ,1740,518,108,29.8,23.6,27,5,4,67,797,24,40,202,875,401,190,609,18.5,1.5,0.19,8.1,56.7
群馬銀行グリーンウイングス,2207,756,121,34.3,28.8,129,24,14,89,1142,57,65,274,928,446,219,902,18.6,1.72,0.2,9.6,59.9
