No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,松下祐太,3,■,■,■,,,12,6,2,50.0,2.00,0,0,0,-,0,-,11,0,1,2,2.3,10,3.0,3.0,45.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
2,,鰐川怜児,2,,□,■,,,17,5,2,29.4,2.50,11,2,2,18.2,0,-,6,0,1,2,4.2,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
3,,高井大輝,3,■,■,■,,,3,0,1,0.0,-,1,0,0,0.0,0,-,9,0,0,3,8.3,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
4,,福池凌太,3,■,■,■,,,34,15,3,44.1,5.00,8,4,2,50.0,0,-,9,0,5,1,-11.1,6,3.0,2.0,66.7,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
5,,浅田潮,2,■,■,,,,10,1,3,10.0,0.50,2,0,1,0.0,0,-,7,0,0,2,7.1,6,4.0,1.0,75.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
6,,篠原和政,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
7,,石坂ハスナヌ,3,■,■,■,,,11,6,0,54.5,2.00,0,0,0,-,2,0.67,10,1,0,3,17.5,3,2.0,1.0,83.3,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
9,,荻野颯大,1,□,,,,,2,1,0,50.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
10,,柳生大成,2,■,■,,,,5,4,0,80.0,2.00,0,0,0,-,1,0.50,4,0,0,0,0.0,2,0.0,0.0,0.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
11,L,新関忠稀,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,19.0,5.0,76.8,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
12,,山田広大,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,5,0.0,4.0,40.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
13,,今中聖也,2,,□,■,,,2,1,0,50.0,0.50,0,0,0,-,1,0.50,3,0,1,0,-8.3,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
15,L,難波宏冶,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
17,,矢澤雅敦,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home
