AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
96,39,11,40.6,13.00,22,6,5,27.3,4,1.33,62,1,9,13,3.2,60,31.0,16.0,65.0,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,長野GaRons,アイシンティルマーレ,篠崎寛,多田将希,0,3,3,Lose,60,75,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Home,89,45,4,50.6,15.00,19,6,4,31.6,3,1.00,73,3,10,11,4.5,52,28.0,10.0,63.5
89,45,4,50.6,15.00,19,6,4,31.6,3,1.00,73,3,10,11,4.5,52,28.0,10.0,63.5,811,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,アイシンティルマーレ,長野GaRons,長嶋彰,鈴木奨平,3,0,3,Win,75,60,75,13:00,14:21,0,田中昭彦,山下亮,中西幸治,戸田幸喜,Away,96,39,11,40.6,13.00,22,6,5,27.3,4,1.33,62,1,9,13,3.2,60,31.0,16.0,65.0
71,35,7,49.3,11.67,10,4,3,40.0,9,3.00,74,5,9,13,8.1,47,32.0,9.0,77.7,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,近畿クラブスフィーダ,伊藤優介,松枝寿明,3,0,3,Win,75,56,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Home,80,33,14,41.2,11.00,10,3,3,30.0,6,2.00,57,0,10,6,-1.8,64,30.0,17.0,60.2
80,33,14,41.2,11.00,10,3,3,30.0,6,2.00,57,0,10,6,-1.8,64,30.0,17.0,60.2,812,2021-12-04,2021,12,04,東京都,板橋区立上板橋体育館,近畿クラブスフィーダ,トヨタモビリティ東京スパークル,能登栄輔,高橋幸造,0,3,3,Lose,56,75,60,15:10,16:16,0,田中昭彦,関野智史,川久保敬規,戸田幸喜,Away,71,35,7,49.3,11.67,10,4,3,40.0,9,3.00,74,5,9,13,8.1,47,32.0,9.0,77.7
89,45,9,50.6,15.00,21,10,3,47.6,11,3.67,73,3,4,21,9.9,52,24.0,11.0,56.7,813,2021-12-05,2021,12,05,東京都,板橋区立上板橋体育館,長野GaRons,近畿クラブスフィーダ,篠崎寛,,3,0,3,Win,75,56,68,12:00,13:14,0,小柴滋,楓淳一郎,高野修,塚本健二,Home,86,32,7,37.2,10.67,14,4,1,28.6,9,3.00,58,1,5,17,6.9,68,28.0,17.0,53.7
86,32,7,37.2,10.67,14,4,1,28.6,9,3.00,58,1,5,17,6.9,68,28.0,17.0,53.7,813,2021-12-05,2021,12,05,東京都,板橋区立上板橋体育館,近畿クラブスフィーダ,長野GaRons,能登栄輔,高橋幸造,0,3,3,Lose,56,75,68,12:00,13:14,0,小柴滋,楓淳一郎,高野修,塚本健二,Away,89,45,9,50.6,15.00,21,10,3,47.6,11,3.67,73,3,4,21,9.9,52,24.0,11.0,56.7
120,55,10,45.8,13.75,19,8,3,42.1,8,2.00,88,1,12,14,1.7,80,42.0,15.0,61.9,814,2021-12-05,2021,12,05,東京都,板橋区立上板橋体育館,トヨタモビリティ東京スパークル,アイシンティルマーレ,伊藤優介,松枝寿明,1,3,4,Lose,87,97,91,14:05,15:45,0,小柴滋,水間絵美,川久保敬規,中嶋幹朗,Home,117,59,7,50.4,14.75,24,14,3,58.3,11,2.75,96,3,15,22,4.9,76,29.0,32.0,59.2
117,59,7,50.4,14.75,24,14,3,58.3,11,2.75,96,3,15,22,4.9,76,29.0,32.0,59.2,814,2021-12-05,2021,12,05,東京都,板橋区立上板橋体育館,アイシンティルマーレ,トヨタモビリティ東京スパークル,長嶋彰,鈴木奨平,3,1,4,Win,97,87,91,14:05,15:45,0,小柴滋,水間絵美,川久保敬規,中嶋幹朗,Away,120,55,10,45.8,13.75,19,8,3,42.1,8,2.00,88,1,12,14,1.7,80,42.0,15.0,61.9
97,27,8,27.8,9.00,9,2,0,22.2,6,2.00,60,3,8,16,8.3,60,24.0,15.0,52.5,815,2022-01-09,2022,01,09,大阪府,淀之水学院 城山キャンパス体育館,近畿クラブスフィーダ,アイシンティルマーレ,能登栄輔,高橋幸造,0,3,3,Lose,58,75,75,13:00,14:21,0,塚本健,佐伯昌昭,髙木智記,安田悠司,Home,99,42,7,42.4,14.00,25,9,4,36.0,9,3.00,73,6,10,18,11.0,52,26.0,7.0,56.7
99,42,7,42.4,14.00,25,9,4,36.0,9,3.00,73,6,10,18,11.0,52,26.0,7.0,56.7,815,2022-01-09,2022,01,09,大阪府,淀之水学院 城山キャンパス体育館,アイシンティルマーレ,近畿クラブスフィーダ,長嶋彰,鈴木奨平,3,0,3,Win,75,58,75,13:00,14:21,0,塚本健,佐伯昌昭,髙木智記,安田悠司,Away,97,27,8,27.8,9.00,9,2,0,22.2,6,2.00,60,3,8,16,8.3,60,24.0,15.0,52.5
