No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,L,鶴田大樹,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,29,12.0,15.0,67.2,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
2,,鈴木寛史,5,■,■,■,■,■,7,5,0,71.4,1.00,0,0,0,-,1,0.20,16,0,0,3,4.7,2,0.0,0.0,0.0,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
3,L,高橋賢,4,,〇,〇,〇,〇,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
4,,エスコバルヤドリアン,5,■,■,■,■,■,54,19,6,35.2,3.80,23,7,4,30.4,3,0.60,17,2,1,4,16.2,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
5,,酒井大祐,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,1.0,50.0,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
6,,岡本祥吾,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
7,,山本湧,5,■,■,■,■,■,2,0,0,0.0,-,0,0,0,-,1,0.20,13,0,2,2,0.0,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
10,,藤中謙也,5,■,■,■,■,■,26,10,3,38.5,2.00,4,1,2,25.0,0,-,12,1,2,0,4.2,34,12.0,17.0,60.3,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
12,,塩田達也,3,■,■,,,□,4,2,0,50.0,0.67,0,0,0,-,0,-,5,1,1,0,15.0,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
13,,松林憲太郎,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,101,2017-10-21,2017,10,21,,東京体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,山村宏太,2,3,5,Lose,101,113,133,13:00,15:25,4100,利根忠史,田中昭彦,山本和良,中嶋幹朗,Home
