No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,野田昌代,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,8,8.0,0.0,100.0,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
2,,成田郁久美,3,■,■,■,,,9,4,0,44.4,1.33,0,0,0,-,1,0.33,8,0,2,0,0.0,11,8.0,0.0,72.7,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
3,,落合真理,3,■,■,■,,,30,10,2,33.3,3.33,0,0,0,-,0,-,12,2,1,3,19.6,11,8.0,0.0,72.7,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
4,,先野久美子,3,■,■,■,,,15,12,1,80.0,4.00,0,0,0,-,1,0.33,10,0,0,2,5.0,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
5,,小山修加,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
6,,青木絢子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
8,,大村加奈子,3,■,■,■,,,25,8,7,32.0,2.67,2,0,1,0.0,2,0.67,14,1,1,0,5.7,1,1.0,0.0,100.0,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
10,,鶴田桂子,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,-,0,-,11,0,1,2,4.5,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
12,,渡辺真由美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
14,L,吉田あい,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,36,30.0,0.0,83.3,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
18,,筒井視穂子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
26,,トーマスイライシャ,3,■,■,■,,,23,6,3,26.1,2.00,0,0,0,-,3,1.00,6,0,0,0,0.0,2,2.0,0.0,100.0,503,2004-11-03,2004,11,03,,,久光製薬スプリングス,JTマーヴェラス,山本辰正,番平守,0,3,3,Lose,64,78,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Home
1,,江藤直美,3,■,■,■,,,14,5,0,35.7,1.67,0,0,0,-,3,1.00,10,0,0,0,0.0,0,0.0,0.0,-,503,2004-11-03,2004,11,03,,,JTマーヴェラス,久光製薬スプリングス,一柳昇,佐藤稔,3,0,3,Win,78,64,73,13:00,14:19,1500,,石井洋壮,里見真理子,小笠原剛,Away
