No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,島村春世,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
2,,古賀紗理那,3,■,■,■,,,24,8,1,33.3,2.67,4,1,0,25.0,0,-,8,0,2,1,-3.1,32,6.0,17.0,45.3,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
3,,家高七央子,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
5,,大野果奈,3,■,■,■,,,8,1,0,12.5,0.33,0,0,0,-,0,-,8,0,0,2,6.2,1,0.0,0.0,0.0,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
6,,上野香織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
7,,山口かなめ,3,■,■,□,,,1,0,0,0.0,-,0,0,0,-,0,-,6,0,0,2,8.3,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
8,,柳田光綺,3,■,■,□,,,14,3,0,21.4,1.00,5,2,0,40.0,0,-,5,0,0,0,0.0,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
10,L,岩崎紗也加,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,8,2.0,4.0,50.0,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
11,L,篠原沙耶香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
12,,廣瀬七海,3,□,□,■,,,11,5,1,45.5,1.67,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,301,2017-10-21,2017,10,21,,ゼビオアリーナ仙台,NECレッドロケッツ,久光製薬スプリングス,山田晃豊,高橋悠,0,3,3,Lose,42,75,70,13:05,14:22,1830,水谷孝義,明井寿枝,高橋宏明,市山直之,Home
