AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
183,57,11,31.1,14.25,3,0,0,0.0,11,2.75,88,2,5,18,7.2,98,61.0,0.0,62.2,501,2011-12-10,2011,12,10,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,岡山シーガルズ,JTマーヴェラス,溝田知茂,吉田啓佑,1,3,4,Lose,87,104,114,14:05,16:08,4000,,石井洋壮,小野将人,大西英和,Home,176,62,10,35.2,15.50,17,5,1,29.4,12,3.00,103,6,5,31,12.2,82,63.0,0.0,76.8
176,62,10,35.2,15.50,17,5,1,29.4,12,3.00,103,6,5,31,12.2,82,63.0,0.0,76.8,501,2011-12-10,2011,12,10,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,JTマーヴェラス,岡山シーガルズ,石原昭久,尾﨑侯,3,1,4,Win,104,87,114,14:05,16:08,4000,,石井洋壮,小野将人,大西英和,Away,183,57,11,31.1,14.25,3,0,0,0.0,11,2.75,88,2,5,18,7.2,98,61.0,0.0,62.2
63,24,1,38.1,8.00,0,0,0,-,6,2.00,57,4,7,18,13.9,56,42.0,0.0,75.0,502,2011-12-10,2011,12,10,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,デンソーエアリービーズ,パイオニアレッドウィングス,達川実,戸澤勉,3,0,3,Win,75,59,72,16:40,17:58,2000,,江下毅,千代延靖夫,真鍋孝志,Home,96,36,5,37.5,12.00,12,2,0,16.7,5,1.67,60,2,4,12,7.7,63,35.0,0.0,55.6
96,36,5,37.5,12.00,12,2,0,16.7,5,1.67,60,2,4,12,7.7,63,35.0,0.0,55.6,502,2011-12-10,2011,12,10,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,パイオニアレッドウィングス,デンソーエアリービーズ,宮下直樹,舟越悠二,0,3,3,Lose,59,75,72,16:40,17:58,2000,,江下毅,千代延靖夫,真鍋孝志,Away,63,24,1,38.1,8.00,0,0,0,-,6,2.00,57,4,7,18,13.9,56,42.0,0.0,75.0
126,30,9,23.8,10.00,14,2,2,14.3,5,1.67,58,4,3,18,13.3,69,42.0,0.0,60.9,503,2011-12-11,2011,12,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,NECレッドロケッツ,東レアローズ,山田晃豊,大村悟,0,3,3,Lose,56,75,71,13:05,14:22,4200,,小野将人,石井洋壮,真鍋美也子,Home,126,44,12,34.9,14.67,25,9,3,36.0,13,4.33,73,2,4,25,10.8,55,33.0,0.0,60.0
126,44,12,34.9,14.67,25,9,3,36.0,13,4.33,73,2,4,25,10.8,55,33.0,0.0,60.0,503,2011-12-11,2011,12,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,東レアローズ,NECレッドロケッツ,菅野幸一郎,福田康弘,3,0,3,Win,75,56,71,13:05,14:22,4200,,小野将人,石井洋壮,真鍋美也子,Away,126,30,9,23.8,10.00,14,2,2,14.3,5,1.67,58,4,3,18,13.3,69,42.0,0.0,60.9
170,53,10,31.2,13.25,2,0,0,0.0,7,1.75,83,4,10,25,11.4,86,51.0,0.0,59.3,504,2011-12-11,2011,12,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,トヨタ車体クインシーズ,久光製薬スプリングス,葛和伸元,高橋悠,1,3,4,Lose,82,99,101,15:00,16:50,4800,,千代延靖夫,江下毅,金谷基代,Home,163,59,7,36.2,14.75,22,4,2,18.2,14,3.50,98,6,10,31,13.2,73,44.0,0.0,60.3
163,59,7,36.2,14.75,22,4,2,18.2,14,3.50,98,6,10,31,13.2,73,44.0,0.0,60.3,504,2011-12-11,2011,12,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,久光製薬スプリングス,トヨタ車体クインシーズ,大東雅史,野中俊英,3,1,4,Win,99,82,101,15:00,16:50,4800,,千代延靖夫,江下毅,金谷基代,Away,170,53,10,31.2,13.25,2,0,0,0.0,7,1.75,83,4,10,25,11.4,86,51.0,0.0,59.3
174,68,12,39.1,13.60,24,8,1,33.3,12,2.40,108,7,5,43,15.9,96,53.0,0.0,55.2,505,2011-12-24,2011,12,24,,とくぎんトモニアリーナ（徳島市立体育館）,東レアローズ,久光製薬スプリングス,菅野幸一郎,福田康弘,3,2,5,Win,109,103,114,14:00,16:06,1754,,田野敏彦,田中昭彦,齋藤雄司,Home,178,65,13,36.5,13.00,16,5,2,31.2,12,2.40,104,6,6,39,14.4,99,53.0,0.0,53.5
178,65,13,36.5,13.00,16,5,2,31.2,12,2.40,104,6,6,39,14.4,99,53.0,0.0,53.5,505,2011-12-24,2011,12,24,,とくぎんトモニアリーナ（徳島市立体育館）,久光製薬スプリングス,東レアローズ,大東雅史,野中俊英,2,3,5,Lose,103,109,114,14:00,16:06,1754,,田野敏彦,田中昭彦,齋藤雄司,Away,174,68,12,39.1,13.60,24,8,1,33.3,12,2.40,108,7,5,43,15.9,96,53.0,0.0,55.2
