AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
196,72,6,36.7,14.40,9,3,1,33.3,4,0.80,100,2,19,24,3.2,90,39.0,18.0,53.3,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,PFUブルーキャッツ,KUROBEアクアフェアリーズ,坂本将康,舟越悠二,2,3,5,Lose,101,103,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Home,177,63,9,35.6,12.60,21,9,4,42.9,12,2.40,103,1,13,32,5.6,80,38.0,17.0,58.1
177,63,9,35.6,12.60,21,9,4,42.9,12,2.40,103,1,13,32,5.6,80,38.0,17.0,58.1,302,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,KUROBEアクアフェアリーズ,PFUブルーキャッツ,丸山貴也,武田義也,3,2,5,Win,103,101,119,12:00,14:11,0,利根川忠史,浅井唯由,内藤聡美,宮坂絵理子,Away,196,72,6,36.7,14.40,9,3,1,33.3,4,0.80,100,2,19,24,3.2,90,39.0,18.0,53.3
158,71,10,44.9,14.20,11,5,0,45.5,12,2.40,107,4,13,35,8.9,86,36.0,23.0,55.2,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,日立リヴァーレ,ヴィクトリーナ姫路,多治見麻子,達川和彦,3,2,5,Win,108,98,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Home,166,60,9,36.1,12.00,3,1,0,33.3,5,1.00,99,0,11,27,4.0,91,41.0,15.0,53.3
166,60,9,36.1,12.00,3,1,0,33.3,5,1.00,99,0,11,27,4.0,91,41.0,15.0,53.3,301,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,ヴィクトリーナ姫路,日立リヴァーレ,中谷宏大,高橋駿,2,3,5,Lose,98,108,128,12:00,14:20,685,勝又正,明井寿枝,浜野陽一,井坂直樹,Away,158,71,10,44.9,14.20,11,5,0,45.5,12,2.40,107,4,13,35,8.9,86,36.0,23.0,55.2
139,50,3,36.0,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27.0,10.0,48.5,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,久光スプリングス,デンソーエアリービーズ,酒井新悟,大久保茂和,3,0,3,Win,77,71,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Home,139,51,8,36.7,17.00,16,4,3,25.0,8,2.67,72,3,6,29,12.2,69,37.0,5.0,57.2
139,51,8,36.7,17.00,16,4,3,25.0,8,2.67,72,3,6,29,12.2,69,37.0,5.0,57.2,304,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,デンソーエアリービーズ,久光スプリングス,川北元,ｺﾞﾝｻﾞﾚｽｱﾝﾄﾞﾚ･ｸﾘｽﾄﾌｧｰ,0,3,3,Lose,71,77,92,13:05,14:43,465,塚本健,冨田博一,本間明,久保温子,Away,139,50,3,36.0,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27.0,10.0,48.5
116,35,9,30.2,11.67,8,1,1,12.5,2,0.67,54,0,7,14,3.2,66,20.0,14.0,40.9,303,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,埼玉上尾メディックス,東レアローズ,蓑輪貴幸,馬場大拓,0,3,3,Lose,52,75,70,15:05,16:21,0,利根川忠史,北村友香,服部篤史,奥村惇平,Home,107,38,4,35.5,12.67,14,6,3,42.9,10,3.33,73,8,7,32,19.5,47,24.0,9.0,60.6
107,38,4,35.5,12.67,14,6,3,42.9,10,3.33,73,8,7,32,19.5,47,24.0,9.0,60.6,303,2020-10-17,2020,10,17,石川県,松任総合運動公園体育館,東レアローズ,埼玉上尾メディックス,越谷章,高杉洋平,3,0,3,Win,75,52,70,15:05,16:21,0,利根川忠史,北村友香,服部篤史,奥村惇平,Away,116,35,9,30.2,11.67,8,1,1,12.5,2,0.67,54,0,7,14,3.2,66,20.0,14.0,40.9
145,58,7,40.0,19.33,25,9,3,36.0,1,0.33,74,6,5,16,11.8,60,43.0,8.0,78.3,305,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,JTマーヴェラス,岡山シーガルズ,吉原知子,丹山禎昭,3,0,3,Win,75,63,85,16:00,17:31,465,塚本健,江下毅,林淳一,長谷淑子,Home,121,46,2,38.0,15.33,2,1,0,50.0,4,1.33,64,1,4,8,3.1,68,38.0,9.0,62.5
121,46,2,38.0,15.33,2,1,0,50.0,4,1.33,64,1,4,8,3.1,68,38.0,9.0,62.5,305,2020-10-17,2020,10,17,佐賀県,SAGAサンライズパーク総合体育館,岡山シーガルズ,JTマーヴェラス,河本昭義,吉田啓佑,0,3,3,Lose,63,75,85,16:00,17:31,465,塚本健,江下毅,林淳一,長谷淑子,Away,145,58,7,40.0,19.33,25,9,3,36.0,1,0.33,74,6,5,16,11.8,60,43.0,8.0,78.3
