No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
1,,東條航,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
2,,清水大輔,3,■,■,■,,,7,1,0,14.3,0.33,0,0,0,-,5,1.67,10,1,0,3,15.5,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
4,,福田健太,3,■,■,■,,,33,14,2,42.4,4.67,10,3,2,30.0,1,0.33,9,0,2,2,5.6,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
5,,平林康裕,3,■,■,■,,,4,2,1,50.0,0.67,0,0,0,-,0,-,11,0,0,5,11.4,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
6,,松本幸博,3,■,■,■,,,18,6,1,33.3,2.00,1,1,0,100.0,1,0.33,9,0,0,1,2.8,26,20.0,0.0,76.9,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
7,L,井上人哉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
8,L,石川俊輔,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,23,12.0,0.0,52.2,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
10,,岩知道呂夫,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,2,0.67,15,1,2,2,10.0,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
11,,下田健一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
13,,中村航太朗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
14,,中道元貴,2,■,■,,,,9,2,1,22.2,1.00,1,0,0,0.0,0,-,7,0,1,1,3.6,14,5.0,0.0,35.7,703,2011-01-08,2011,01,08,,近畿大学記念会館,警視庁フォートファイターズ,富士通カワサキレッドスピリッツ,中村四郎,堀江賢司,0,3,3,Lose,62,75,75,11:00,12:21,185,,大塚春夫,建井敬,永江雅之,Home
