AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
73,30,10,41.1,10.00,5,2,1,40.0,17,5.67,73,1,8,24,9.3,42,28.0,0.0,66.7,301,2007-01-13,2007,01,13,,大同特殊鋼体育館,ジェイテクトSTINGS,トヨタ自動車サンホークス,長井浩二,宗宮直人,3,0,3,Win,75,52,59,13:01,14:06,350,,柘植知則,首藤隆宏,田中栄二,Home,99,27,13,27.3,9.00,19,4,3,21.1,3,1.00,54,1,12,13,7.5,65,40.0,0.0,61.5
99,27,13,27.3,9.00,19,4,3,21.1,3,1.00,54,1,12,13,7.5,65,40.0,0.0,61.5,301,2007-01-13,2007,01,13,,大同特殊鋼体育館,トヨタ自動車サンホークス,ジェイテクトSTINGS,平野天,近藤浩,0,3,3,Lose,52,75,59,13:01,14:06,350,,柘植知則,首藤隆宏,田中栄二,Away,73,30,10,41.1,10.00,5,2,1,40.0,17,5.67,73,1,8,24,9.3,42,28.0,0.0,66.7
95,47,4,49.5,15.67,9,4,1,44.4,13,4.33,74,1,12,18,7.2,61,50.0,0.0,82.0,303,2007-01-13,2007,01,13,,高森町民体育館,FC東京,富士通カワサキレッドスピリッツ,金澤正明,今橋茂樹,3,0,3,Win,75,63,69,14:00,15:15,950,,浅見靖人,小林尚人,嶋田和明,Home,93,35,9,37.6,11.67,17,4,2,23.5,11,3.67,64,0,3,11,4.3,62,43.0,0.0,69.4
93,35,9,37.6,11.67,17,4,2,23.5,11,3.67,64,0,3,11,4.3,62,43.0,0.0,69.4,303,2007-01-13,2007,01,13,,高森町民体育館,富士通カワサキレッドスピリッツ,FC東京,山本道彦,武田和朗,0,3,3,Lose,63,75,69,14:00,15:15,950,,浅見靖人,小林尚人,嶋田和明,Away,95,47,4,49.5,15.67,9,4,1,44.4,13,4.33,74,1,12,18,7.2,61,50.0,0.0,82.0
124,52,12,41.9,13.00,32,14,2,43.8,16,4.00,96,2,16,16,6.2,73,48.0,0.0,65.8,302,2007-01-13,2007,01,13,,大同特殊鋼体育館,つくばユナイテッドSunGAIA,大同特殊鋼レッドスター,都澤凡夫,佐藤由法,3,1,4,Win,98,90,93,15:00,16:42,380,,大塚春夫,岡谷仁,岡田三千雄,Home,121,52,9,43.0,13.00,17,3,2,17.6,5,1.25,91,3,16,24,9.7,78,62.0,0.0,79.5
121,52,9,43.0,13.00,17,3,2,17.6,5,1.25,91,3,16,24,9.7,78,62.0,0.0,79.5,302,2007-01-13,2007,01,13,,大同特殊鋼体育館,大同特殊鋼レッドスター,つくばユナイテッドSunGAIA,東岡昇,中尾貞治,1,3,4,Lose,90,98,93,15:00,16:42,380,,大塚春夫,岡谷仁,岡田三千雄,Away,124,52,12,41.9,13.00,32,14,2,43.8,16,4.00,96,2,16,16,6.2,73,48.0,0.0,65.8
75,24,10,32.0,8.00,13,6,2,46.2,5,1.67,53,2,8,15,10.1,60,27.0,0.0,45.0,304,2007-01-13,2007,01,13,,高森町民体育館,近畿クラブスフィーダ,東京ヴェルディ,光山秀行,山本雅史,0,3,3,Lose,51,75,66,15:47,16:59,900,,中島俊昌,鏡味照明,内藤義人,Home,69,39,6,56.5,13.00,15,8,2,53.3,9,3.00,74,7,10,29,18.2,45,28.0,0.0,62.2
69,39,6,56.5,13.00,15,8,2,53.3,9,3.00,74,7,10,29,18.2,45,28.0,0.0,62.2,304,2007-01-13,2007,01,13,,高森町民体育館,東京ヴェルディ,近畿クラブスフィーダ,伊集院弘岳,濱口純一,3,0,3,Win,75,51,66,15:47,16:59,900,,中島俊昌,鏡味照明,内藤義人,Away,75,24,10,32.0,8.00,13,6,2,46.2,5,1.67,53,2,8,15,10.1,60,27.0,0.0,45.0
115,57,8,49.6,14.25,13,5,2,38.5,13,3.25,104,4,6,29,10.0,80,47.0,0.0,58.8,305,2007-01-14,2007,01,14,,大同特殊鋼体育館,警視庁フォートファイターズ,トヨタ自動車サンホークス,米山憲二,中本貴志,3,1,4,Win,105,91,93,11:00,12:42,120,,大塚春夫,田畑安史,田中栄二,Home,142,63,19,44.4,15.75,17,8,2,47.1,7,1.75,92,4,9,32,12.8,98,65.0,0.0,66.3
142,63,19,44.4,15.75,17,8,2,47.1,7,1.75,92,4,9,32,12.8,98,65.0,0.0,66.3,305,2007-01-14,2007,01,14,,大同特殊鋼体育館,トヨタ自動車サンホークス,警視庁フォートファイターズ,平野天,近藤浩,1,3,4,Lose,91,105,93,11:00,12:42,120,,大塚春夫,田畑安史,田中栄二,Away,115,57,8,49.6,14.25,13,5,2,38.5,13,3.25,104,4,6,29,10.0,80,47.0,0.0,58.8
